"data_record_id";"data_record_start_time";"data_record_end_time";"data_record_value";"observation_fk";"verification_fk";"validity_fk";"data_record_data_capture"
47799209;"2014-01-01 00:00:00";"2014-01-01 01:00:00";17.000000;8717;"1";"1";
47799210;"2014-01-01 01:00:00";"2014-01-01 02:00:00";17.000000;8717;"1";"1";
47799211;"2014-01-01 02:00:00";"2014-01-01 03:00:00";17.000000;8717;"1";"1";
47799212;"2014-01-01 03:00:00";"2014-01-01 04:00:00";17.000000;8717;"1";"1";
47799213;"2014-01-01 04:00:00";"2014-01-01 05:00:00";17.000000;8717;"1";"1";
47799214;"2014-01-01 05:00:00";"2014-01-01 06:00:00";17.000000;8717;"1";"1";
47799215;"2014-01-01 06:00:00";"2014-01-01 07:00:00";17.000000;8717;"1";"1";
47799216;"2014-01-01 07:00:00";"2014-01-01 08:00:00";17.000000;8717;"1";"1";
47799217;"2014-01-01 08:00:00";"2014-01-01 09:00:00";17.000000;8717;"1";"1";
