"data_record_id";"data_record_start_time";"data_record_end_time";"data_record_value";"observation_fk";"verification_fk";"validity_fk";"data_record_data_capture"
47790449;"2014-01-01 00:00:00";"2014-01-01 01:00:00";21.000000;8716;"1";"1";
47790450;"2014-01-01 01:00:00";"2014-01-01 02:00:00";21.000000;8716;"1";"1";
47790451;"2014-01-01 02:00:00";"2014-01-01 03:00:00";21.000000;8716;"1";"1";
47790452;"2014-01-01 03:00:00";"2014-01-01 04:00:00";21.000000;8716;"1";"1";
47790453;"2014-01-01 04:00:00";"2014-01-01 05:00:00";21.000000;8716;"1";"1";
47790454;"2014-01-01 05:00:00";"2014-01-01 06:00:00";21.000000;8716;"1";"1";
47790455;"2014-01-01 06:00:00";"2014-01-01 07:00:00";21.000000;8716;"1";"1";
47790456;"2014-01-01 07:00:00";"2014-01-01 08:00:00";21.000000;8716;"1";"1";
47790457;"2014-01-01 08:00:00";"2014-01-01 09:00:00";21.000000;8716;"1";"1";
